Part 2a
The sum the total length of all movies: 167446
Part 2b
 Popularity   |      Movie Title
     88       |   Best of Times, The                      
     88       |   Let It Ride                             
     88       |   New Year's Day                          
     88       |   Five Corners                            
     88       |   Fellini Satyricon                       
     88       |   Gonzo Presents Muppet Weird Stuff       
     88       |   Great Race, The                         
     88       |   Blood in, Blood Out                     
     88       |   Guilty by Suspicion                     
     88       |   Time Machine, The                       
     88       |   Long Voyage Home, The                   
     88       |   They Were Expendable                    
     88       |   French Connection, The                  
     88       |   Final Notice                            
     88       |   Class Act                               
     88       |   Happy Birthday to Me                    
     88       |   Swedenhielms                            
     88       |   Dangerous Pursuit                       
     88       |   Creature from Black Lake                
     88       |   Terror, The                             
     88       |   Out of Africa                           
     88       |   Ballad of Narayama, The                 
     88       |   Head Office                             
     88       |   Raw Nerve                               
     88       |   Jeremiah Johnson                        
     87       |   Russkies                                
     87       |   Destroyer                               
     87       |   B. A. D. Cats                           
     87       |   City of Joy                             
     87       |   X, Y & Zee                              
     87       |   Law & Order                             
     87       |   Adventures of Rex & Rinty, The          
     87       |   Star Trek V: The Final Frontier         
     87       |   Choice of Arms                          
     87       |   Jean de Florette                        
     87       |   John Wayne Six Pack                     
     87       |   Three Days of the Condor                
     87       |   Superman, The Movie                     
     87       |   Three Strange Loves                     
     86       |   Libeled Lady                            
     86       |   Secret Policeman's Other Ball, The      
     86       |   Twin Peaks                              
     86       |   For Your Eyes Only                      
     86       |   Fat Man & Little Boy                    
     86       |   Sacketts, The                           
     86       |   Viva Zapata!                            
     86       |   Harper                                  
     86       |   Prince & the Pauper, The                
     86       |   Golden Child, The                       
     86       |   Fozzie's Muppet Scrapbook               
     86       |   Bliss of Mrs. Blossom, The              
     86       |   Out of the Darkness                     
     85       |   Raven, The                              
     85       |   Man Who Shot Liberty Valance, The       
     85       |   Magic                                   
     85       |   As You Desire Me                        
     85       |   Party Girl                              
     85       |   Phantom of the Ritz                     
     85       |   Daphnis & Chloe                         
     85       |   Man from Montana                        
     85       |   Inserts                                 
     85       |   Bury Me Not on the Lone Prairie         
     85       |   That Lucky Touch                        
     85       |   Sanshiro Sugata                         
     84       |   Gunfight at the OK Corral               
     84       |   King of Comedy                          
     84       |   Kelly's Heroes                          
     84       |   Big Bad John                            
     84       |   Marrying Man, The                       
     84       |   Twilight's Last Gleaming                
     84       |   Love & Death                            
     84       |   Othello                                 
     84       |   Surrender                               
     84       |   Catamount Killing, The                  
     84       |   Crimes of the Heart                     
     84       |   Dick Tracy                              
     84       |   She Wore a Yellow Ribbon                
     84       |   Arrowsmith                              
     84       |   Say Goodbye Maggie Cole                 
     84       |   Ruthless People                         
     84       |   D-Day, The Sixth of June                
     84       |   My Science Project                      
     84       |   Taps                                    
     84       |   Legend of the Lost                      
     84       |   Angel & the Badman                      
     83       |   Ape Man, The                            
     83       |   Monty Python & the Holy Grail           
     83       |   A Clockwork Orange                      
     83       |   Two Women                               
     83       |   Rape of the Sabines, The                
     83       |   A New Leaf                              
     83       |   Back Door to Heaven                     
     83       |   Places in the Heart                     
     83       |   Romancing the Stone                     
     83       |   Overland Stage Raiders                  
     83       |   Woman of Affairs                        
     83       |   2001: A Space Odyssey                   
     83       |   Swing It, Sailor!                       
     83       |   Getting Straight                        
     83       |   Doctor at Sea                           
     83       |   Sting, The                              
     83       |   El Rublo de las Dos Caras               
     83       |   Dillinger                               
     83       |   What's New Pussycat                     
     83       |   Alien                                   
     82       |   Ugetsu Monogatari                       
     82       |   Aliens                                  
     82       |   Valkenvania                             
     82       |   Slap Shot                               
     82       |   Woman Next Door, The                    
     82       |   Butterflies Are Free                    
     82       |   Who's Afraid of Virginia Woolf?         
     82       |   Duet for One                            
     82       |   Manhattan                               
     82       |   Fantasy Man                             
     82       |   Formula, The                            
     82       |   Burning Poles, Cecil Taylor in Performance
     82       |   Bonfire of the Vanities, The            
     82       |   Rebel Without a Cause                   
     82       |   Meet Millie                             
     82       |   Nineteen Hundred                        
     82       |   Alice Doesn't Live Here Anymore         
     82       |   Flaming Frontiers                       
     82       |   Queen Christina                         
     82       |   Deer Hunter, The                        
     82       |   Penitentiary III                        
     81       |   Heiress, The                            
     81       |   Swing Shift                             
     81       |   At Play in the Fields of the Lord       
     81       |   Ryan's Daughter                         
     81       |   After Hours                             
     81       |   Matewan                                 
     81       |   Hanover Street                          
     81       |   Day of the Locust, The                  
     81       |   Fanny and Alexander                     
     81       |   Tormenta Sobre Arizona                  
     81       |   L. A. Story                             
     81       |   Persona                                 
     81       |   Grand Hotel                             
     81       |   Contempt                                
     81       |   Dersu Uzala, (The Hunter)               
     81       |   Play It Again, Sam                      
     81       |   National Lampoon's Christmas Vacation   
     81       |   Reflections in a Golden Eye             
     81       |   Monty Python Live at the Hollywood Bowl 
     80       |   Husbands & Wives                        
     80       |   Lolita                                  
     80       |   Cleopatra                               
     80       |   Rodeo Girl                              
     80       |   Hammersmith Is Out                      
     80       |   Cannonball Run, The                     
     80       |   A Question of Honor                     
     80       |   Check Your Guns                         
     80       |   Mr. Arkadin                             
     80       |   New Jack City                           
     80       |   Goon Show Movie, The                    
     80       |   War & Peace                             
     80       |   Stripped to Kill II, Live Girls         
     80       |   Statue, The                             
     80       |   Bobo, The                               
     80       |   Zandalee                                
     80       |   Mephisto                                
     80       |   Scarlet Street                          
     80       |   Angela                                  
     80       |   A Special Day                           
     80       |   Her Alibi                               
     80       |   8 1/2                                   
     80       |   It Started with a Kiss                  
     79       |   Silence, The                            
     79       |   Predator 2                              
     79       |   A Touch of Class                        
     79       |   Texas                                   
     79       |   Joe Kidd                                
     79       |   Lassie Come Home                        
     79       |   Face at the Window, The                 
     79       |   Bloodsucking Pharaohs in Pittsburgh     
     79       |   Rowlf's Rhapsodies with the Muppets     
     79       |   Monty Python's Flying Circus, Vol 2.    
     79       |   Cheerleader Camp                        
     79       |   Russians Are Coming, the Russians Are, The
     79       |   True Stories                            
     79       |   Arthur                                  
     79       |   A Married Man                           
     79       |   Defense of the Realm                    
     79       |   Siegfried, The Nibelungenlied           
     79       |   Babette's Feast                         
     79       |   Crawling Hand, The                      
     79       |   Dead Zone, The                          
     78       |   Rocky                                   
     78       |   Delicatessen                            
     78       |   Rebecca                                 
     78       |   Wee Willie Winkie                       
     78       |   Mo' Better Blues                        
     78       |   Return of the Lash                      
     78       |   King of the Pecos                       
     78       |   Rain People, The                        
     78       |   Lion in Winter, THe                     
     78       |   Apache                                  
     78       |   Get Out Your Handkerchiefs              
     78       |   Bloodsport                              
     78       |   Hot to Trot                             
     78       |   JFK                                     
     78       |   Circuitry Man                           
     78       |   A Year of the Quiet Sun                 
     77       |   Ferry to Hong Kong                      
     77       |   True Grit                               
     77       |   Criss Cross                             
